NPH;5×;1.24%;" "
XAR;5×;1.24%;" "
NCH;5×;1.24%;" "
HAR;5×;1.24%;" "
RAN;4×;0.99%;" "
GAL;4×;0.99%;" "
AXL;4×;0.99%;" "
CHI;4×;0.99%;" "
ONG;4×;0.99%;" "
ETH;4×;0.99%;" "
OGA;3×;0.74%;" "
EXO;3×;0.74%;" "
PHI;3×;0.74%;" "
CHO;3×;0.74%;" "
ANG;3×;0.74%;" "
EXA;3×;0.74%;" "
THA;3×;0.74%;" "
DRO;3×;0.74%;" "
HIR;3×;0.74%;" "
BRA;3×;0.74%;" "
ARN;3×;0.74%;" "
ORA;3×;0.74%;" "
ONA;3×;0.74%;" "
PHA;3×;0.74%;" "
DEX;2×;0.5%;" "
ZID;2×;0.5%;" "
BAL;2×;0.5%;" "
GRA;2×;0.5%;" "
DAX;2×;0.5%;" "
EPH;2×;0.5%;" "
RNA;2×;0.5%;" "
GDE;2×;0.5%;" "
THC;2×;0.5%;" "
OTH;2×;0.5%;" "
AXR;2×;0.5%;" "
TAL;2×;0.5%;" "
GEO;2×;0.5%;" "
CHA;2×;0.5%;" "
HLA;2×;0.5%;" "
NER;2×;0.5%;" "
VAX;2×;0.5%;" "
ALA;2×;0.5%;" "
HAL;2×;0.5%;" "
XDE;2×;0.5%;" "
EOP;2×;0.5%;" "
ACH;2×;0.5%;" "
EMA;2×;0.5%;" "
RON;2×;0.5%;" "
ALG;2×;0.5%;" "
OXA;2×;0.5%;" "
NOL;2×;0.5%;" "
PAR;2×;0.5%;" "
LGA;2×;0.5%;" "
AXA;2×;0.5%;" "
ORN;2×;0.5%;" "
RGD;2×;0.5%;" "
GER;2×;0.5%;" "
RAP;2×;0.5%;" "
RDO;2×;0.5%;" "
BOR;2×;0.5%;" "
NAN;2×;0.5%;" "
ONC;2×;0.5%;" "
RAX;2×;0.5%;" "
PGE;2×;0.5%;" "
HIG;2×;0.5%;" "
ARG;2×;0.5%;" "
VRA;2×;0.5%;" "
BLO;2×;0.5%;" "
RNO;2×;0.5%;" "
ARB;2×;0.5%;" "
CHZ;2×;0.5%;" "
ICH;2×;0.5%;" "
HIL;2×;0.5%;" "
VIR;2×;0.5%;" "
OPI;2×;0.5%;" "
ONT;2×;0.5%;" "
ZVR;1×;0.25%;" "
ZVH;1×;0.25%;" "
GEN;1×;0.25%;" "
VOX;1×;0.25%;" "
AZL;1×;0.25%;" "
OPA;1×;0.25%;" "
HVG;1×;0.25%;" "
ADA;1×;0.25%;" "
LAX;1×;0.25%;" "
ORO;1×;0.25%;" "
EMG;1×;0.25%;" "
EBE;1×;0.25%;" "
NEL;1×;0.25%;" "
ZOC;1×;0.25%;" "
DRA;1×;0.25%;" "
DAL;1×;0.25%;" "
YXA;1×;0.25%;" "
BAR;1×;0.25%;" "
ALL;1×;0.25%;" "
VDA;1×;0.25%;" "
XAB;1×;0.25%;" "
NOM;1×;0.25%;" "
EPO;1×;0.25%;" "
OPH;1×;0.25%;" "
INA;1×;0.25%;" "
DOR;1×;0.25%;" "
NAV;1×;0.25%;" "
RGN;1×;0.25%;" "
ELP;1×;0.25%;" "
IOD;1×;0.25%;" "
RNE;1×;0.25%;" "
ZIC;1×;0.25%;" "
NOP;1×;0.25%;" "
DET;1×;0.25%;" "
HCO;1×;0.25%;" "
LNA;1×;0.25%;" "
RPC;1×;0.25%;" "
ODA;1×;0.25%;" "
OGL;1×;0.25%;" "
AXD;1×;0.25%;" "
EOT;1×;0.25%;" "
MNA;1×;0.25%;" "
BLA;1×;0.25%;" "
NTO;1×;0.25%;" "
XAN;1×;0.25%;" "
ERR;1×;0.25%;" "
ANV;1×;0.25%;" "
ALD;1×;0.25%;" "
PZI;1×;0.25%;" "
RCH;1×;0.25%;" "
VNV;1×;0.25%;" "
BBO;1×;0.25%;" "
