AXA;6×;1.4%;" "
CHA;6×;1.4%;" "
DEX;6×;1.4%;" "
VAN;5×;1.17%;" "
ARG;5×;1.17%;" "
ICH;5×;1.17%;" "
NPH;5×;1.17%;" "
HZA;4×;0.93%;" "
ARN;4×;0.93%;" "
PHA;4×;0.93%;" "
ANC;4×;0.93%;" "
LPH;4×;0.93%;" "
ORG;3×;0.7%;" "
HLE;3×;0.7%;" "
GET;3×;0.7%;" "
RON;3×;0.7%;" "
APH;3×;0.7%;" "
ARC;3×;0.7%;" "
NOP;3×;0.7%;" "
PHI;3×;0.7%;" "
NCH;3×;0.7%;" "
EMP;3×;0.7%;" "
ETH;3×;0.7%;" "
OXA;3×;0.7%;" "
RCH;2×;0.47%;" "
ANA;2×;0.47%;" "
DEC;2×;0.47%;" "
IDO;2×;0.47%;" "
HAN;2×;0.47%;" "
GDE;2×;0.47%;" "
XTO;2×;0.47%;" "
ECR;2×;0.47%;" "
MAX;2×;0.47%;" "
BAL;2×;0.47%;" "
LEB;2×;0.47%;" "
ARD;2×;0.47%;" "
DAV;2×;0.47%;" "
NEX;2×;0.47%;" "
APO;2×;0.47%;" "
IDR;2×;0.47%;" "
ANG;2×;0.47%;" "
RAN;2×;0.47%;" "
PHD;2×;0.47%;" "
RVA;2×;0.47%;" "
POL;2×;0.47%;" "
RGE;2×;0.47%;" "
VRG;2×;0.47%;" "
OPT;2×;0.47%;" "
ANP;2×;0.47%;" "
ELD;2×;0.47%;" "
ZIR;2×;0.47%;" "
HAR;2×;0.47%;" "
EON;2×;0.47%;" "
MAC;2×;0.47%;" "
HOR;2×;0.47%;" "
NZA;2×;0.47%;" "
XOR;2×;0.47%;" "
MAG;2×;0.47%;" "
LHI;2×;0.47%;" "
XNO;2×;0.47%;" "
RGR;2×;0.47%;" "
EPA;2×;0.47%;" "
NGA;2×;0.47%;" "
LNE;2×;0.47%;" "
FFR;2×;0.47%;" "
OGE;2×;0.47%;" "
ALL;2×;0.47%;" "
CHI;1×;0.23%;" "
ROM;1×;0.23%;" "
ONP;1×;0.23%;" "
ANO;1×;0.23%;" "
LIN;1×;0.23%;" "
XIR;1×;0.23%;" "
GEO;1×;0.23%;" "
PVR;1×;0.23%;" "
ALH;1×;0.23%;" "
ROP;1×;0.23%;" "
ZAL;1×;0.23%;" "
PAL;1×;0.23%;" "
MED;1×;0.23%;" "
ALP;1×;0.23%;" "
XON;1×;0.23%;" "
OHG;1×;0.23%;" "
ENZ;1×;0.23%;" "
IPH;1×;0.23%;" "
ALN;1×;0.23%;" "
ORP;1×;0.23%;" "
HDV;1×;0.23%;" "
GLO;1×;0.23%;" "
DOL;1×;0.23%;" "
HNA;1×;0.23%;" "
ANV;1×;0.23%;" "
IOD;1×;0.23%;" "
RAX;1×;0.23%;" "
VRZ;1×;0.23%;" "
OPH;1×;0.23%;" "
IRI;1×;0.23%;" "
ONA;1×;0.23%;" "
NZI;1×;0.23%;" "
RED;1×;0.23%;" "
LGR;1×;0.23%;" "
APD;1×;0.23%;" "
EXO;1×;0.23%;" "
LAL;1×;0.23%;" "
NOR;1×;0.23%;" "
GAZ;1×;0.23%;" "
LAD;1×;0.23%;" "
ONV;1×;0.23%;" "
NEC;1×;0.23%;" "
ROH;1×;0.23%;" "
TOM;1×;0.23%;" "
PGE;1×;0.23%;" "
ZAR;1×;0.23%;" "
