Grupo de letras	Nº de letras	Nº de ocorrências	
			
LETHORANPAREMAGOXZIDRAMPTOTAXLAR	32	2	#904,#939
IRACHAALAPZVBOT	15	2	#181,#208
GADROMPHLIP	11	2	#169,#196
IRAPHAN	7	2	#1049,#1139
OPHICHA	7	2	#510,#730
CHASTOR	7	2	#84,#655
ZIRAPHA	7	2	#867,#1138
ANZANCH	7	2	#394,#519
XORMAR	6	2	#587,#997
PHIODA	6	2	#272,#641
ODOGRA	6	2	#227,#669
ORGAXO	6	2	#445,#747
AGENPH	6	2	#629,#873
AXDEHO	6	2	#440,#618
XNAVI	5	2	#407,#784
PVIXO	5	2	#584,#1066
PHANO	5	2	#761,#1142
POLGE	5	2	#153,#1021
DEHOX	5	2	#240,#620
DAXNA	5	2	#782,#1089
DAMPH	5	2	#413,#1227
LOPTA	5	2	#39,#598
OTHZI	5	2	#342,#835
OLLAP	5	2	#1070,#1110
OGALD	5	2	#20,#1085
ORDAX	5	2	#437,#1257
ORNAP	5	3	#752,#886,#1062
ONGAL	5	2	#134,#1150
RONPH	5	2	#638,#1157
CHORD	5	2	#311,#435
CHLAX	5	2	#74,#1207
NCHOL	5	2	#694,#810
NARVA	5	2	#625,#716
ARDEX	5	2	#321,#591
ARONP	5	2	#115,#358
AXONA	5	2	#448,#894
ANCHA	5	2	#397,#861
ANCHO	5	3	#95,#309,#809
MANCH	5	2	#808,#860
XZIR	4	2	#258,#991
XORN	4	2	#300,#751
PHAL	4	3	#265,#633,#823
POLO	4	2	#139,#596
DRON	4	2	#381,#609
DRAN	4	2	#146,#984
DARC	4	2	#71,#815
DORN	4	2	#885,#1222
LEXO	4	2	#687,#1254
LPHA	4	2	#760,#822
LAXC	4	2	#1209,#1235
LAXO	4	2	#58,#76
LARV	4	2	#504,#933
LARD	4	5	#320,#348,#968,#981,#1190
LDAX	4	2	#847,#1088
GRAN	4	2	#307,#842
GELA	4	2	#418,#979
GETH	4	3	#156,#712,#1186
BONG	4	2	#478,#1149
BANC	4	2	#164,#529
OLDA	4	2	#813,#846
OLPO	4	2	#553,#666
OXNA	4	2	#406,#623
OVAR	4	2	#63,#561
OCHA	4	2	#282,#654
ORNO	4	2	#832,#1223
ONCH	4	3	#611,#693,#852
RBAN	4	2	#528,#1027
RDRO	4	2	#380,#1120
RANC	4	2	#308,#985
RANO	4	2	#147,#843
RNOP	4	2	#737,#1018
EXOR	4	2	#299,#1255
ELAX	4	2	#419,#1234
HZVR	4	2	#525,#800
