RACHAALAPZVBO,2×,0.16%,
IRACHAALAPZVB,2×,0.16%,
ANPAREMAGOXZI,2×,0.16%,
DRAMPTOTAXLAR,2×,0.16%,
REMAGOXZIDRAM,2×,0.16%,
ACHAALAPZVBOT,2×,0.16%,
NPAREMAGOXZID,2×,0.16%,
EMAGOXZIDRAMP,2×,0.16%,
PAREMAGOXZIDR,2×,0.16%,
MAGOXZIDRAMPT,2×,0.16%,
AREMAGOXZIDRA,2×,0.16%,
LETHORANPAREM,2×,0.16%,
AGOXZIDRAMPTO,2×,0.16%,
ETHORANPAREMA,2×,0.16%,
GOXZIDRAMPTOT,2×,0.16%,
THORANPAREMAG,2×,0.16%,
OXZIDRAMPTOTA,2×,0.16%,
HORANPAREMAGO,2×,0.16%,
XZIDRAMPTOTAX,2×,0.16%,
ORANPAREMAGOX,2×,0.16%,
ZIDRAMPTOTAXL,2×,0.16%,
RANPAREMAGOXZ,2×,0.16%,
IDRAMPTOTAXLA,2×,0.16%,
MANZCHERONABA,1×,0.08%,
CHANORVOGALDP,1×,0.08%,
AXLARGEPTAARC,1×,0.08%,
LOPTAZILDOCOR,1×,0.08%,
NEPOGALAXODOV,1×,0.08%,
ARGENADARCHLA,1×,0.08%,
XORPHICHASTOR,1×,0.08%,
HIBLANCHONAVA,1×,0.08%,
ROXVTALPVAXAR,1×,0.08%,
ONPADEMAPHELL,1×,0.08%,
ICHNONGALPOLO,1×,0.08%,
XDADRANOXAPOL,1×,0.08%,
GETHOXLIBANCH,1×,0.08%,
GADROMPHLIPHI,1×,0.08%,
TGADROMPHLIPS,1×,0.08%,
OTNALBODOGRAX,1×,0.08%,
VXFRALDEHOXAM,1×,0.08%,
ACHERDABANOXZ,1×,0.08%,
IRNAMPHALGEDP,1×,0.08%,
HIODAPNIZOCHA,1×,0.08%,
MAVAHVPALBDEV,1×,0.08%,
EXORNIPAGRANC,1×,0.08%,
HORDZABNLARDE,1×,0.08%,
XMARRANPANSAC,1×,0.08%,
HLEPOTHZICLAR,1×,0.08%,
DIXNACHARONPZ,1×,0.08%,
IRBILBALAZVCH,1×,0.08%,
ALERDRONVADPI,1×,0.08%,
RVARANZANCHAL,1×,0.08%,
PHIOXNAVINDAM,1×,0.08%,
PHGELAXRONGVA,1×,0.08%,
XNOLPACHORDAX,1×,0.08%,
DEHORGAXONAPH,1×,0.08%,
ONDELPONGARZA,1×,0.08%,
NEMRABAXALBON,1×,0.08%,
GRELDORCHOTHD,1×,0.08%,
EGANPHAAXOLAR,1×,0.08%,
VAXOPHICHALMA,1×,0.08%,
NZANCHZVRBANC,1×,0.08%,
ODRAXANLEDGER,1×,0.08%,
PHVBARROLPOPN,1×,0.08%,
ATOVARZIDCOXL,1×,0.08%,
ETHCONGNAXALP,1×,0.08%,
VIXORMARDEXPO,1×,0.08%,
LOPTAGEHVNADR,1×,0.08%,
ONCHIPLAXDEHO,1×,0.08%,
XNARVAGENPHAL,1×,0.08%,
CRONPHIODARBA,1×,0.08%,
LGPROCHASTORG,1×,0.08%,
NELOLPODOGRAP,1×,0.08%,
AGAMVIXNORGLE,1×,0.08%,
XOPVONCHOLZIR,1×,0.08%,
CLAMPHLETHGET,1×,0.08%,
HNARVANHVNABR,1×,0.08%,
ADOPHICHARNOP,1×,0.08%,
HRALOXORGAXOR,1×,0.08%,
NAPTZILPHANOL,1×,0.08%,
ADNAPDVCORENV,1×,0.08%,
ANDAXNAVIRAXM,1×,0.08%,
ACHVDRAHZVRAP,1×,0.08%,
HAMANCHOLDARC,1×,0.08%,
ONALPHALAPHIC,1×,0.08%,
ORNOTHZIROGRA,1×,0.08%,
NOLDAXLONCHCH,1×,0.08%,
ARMANCHARZIRA,1×,0.08%,
PHAGENPHCALCH,1×,0.08%,
ADORNAPARTAXO,1×,0.08%,
NARPHANLETHOR,1×,0.08%,
VXTLETHORANPA,1×,0.08%,
PTOTAXLARDXTD,1×,0.08%,
EMNAGELARDRAN,1×,0.08%,
CLAXZIRBAXORM,1×,0.08%,
ARGAXOLEGODON,1×,0.08%,
PHZIRNOPOLGEA,1×,0.08%,
RBANAPHAXLAGE,1×,0.08%,
DVARNALCHIRAP,1×,0.08%,
HANGABALCORNA,1×,0.08%,
PVIXOLLAPNRAC,1×,0.08%,
HAPZIDOGALDAX,1×,0.08%,
NAALPARGDEVAN,1×,0.08%,
ONYNPOLLAPRON,1×,0.08%,
TARDROHAXOMAC,1×,0.08%,
LONZICHZIRAPH,1×,0.08%,
ANOXYBONGALBO,1×,0.08%,
RONPHANERVOLT,1×,0.08%,
ZICHLOXARMONP,1×,0.08%,
ONTGETHLARDVD,1×,0.08%,
AGACHIROVANCH,1×,0.08%,
LAXCOHVRNORZY,1×,0.08%,
DORNODAMPHCHE,1×,0.08%,
LAXCLARZAPTHN,1×,0.08%,
ERVACALEXORDA,1×,0.08%,
ANZCHERONABAC,1×,0.08%,
HANORVOGALDPA,1×,0.08%,
XLARGEPTAARCL,1×,0.08%,
