Group of Letters		Frequency		%
				
A		40639		3.83
AA		195		0.02
AAB		3		0.00
AABA		1		0.00
AABAP		1		0.00
AABAPH		1		0.00
AAC		19		0.00
AACA		1		0.00
AACAA		1		0.00
AACAAH		1		0.00
AACH		14		0.00
AACHA		7		0.00
AACHAD		3		0.00
AACHAL		1		0.00
AACHAR		1		0.00
AACHAS		2		0.00
AACHE		3		0.00
AACHEL		2		0.00
AACHEP		1		0.00
AACHI		1		0.00
AACHID		1		0.00
AACHO		1		0.00
AACHOR		1		0.00
AACHV		2		0.00
AACHVN		1		0.00
AACHVZ		1		0.00
AACL		2		0.00
AACLA		2		0.00
AACLAD		1		0.00
AACLAX		1		0.00
AACR		1		0.00
AACRY		1		0.00
AACRYD		1		0.00
AACV		1		0.00
AACVA		1		0.00
AACVAN		1		0.00
AAD		17		0.00
AADA		2		0.00
AADAA		1		0.00
AADAAH		1		0.00
AADAX		1		0.00
AADAXO		1		0.00
AADD		1		0.00
AADDA		1		0.00
AADN		5		0.00
AADNA		2		0.00
AADNAC		1		0.00
AADNAP		1		0.00
AADNO		3		0.00
AADNOC		1		0.00
AADNON		1		0.00
AADNOP		1		0.00
AADO		4		0.00
AADON		2		0.00
AADONG		1		0.00
AADONT		1		0.00
AADOX		2		0.00
AADOXA		2		0.00
AADR		4		0.00
AADRA		3		0.00
AADRAH		1		0.00
AADRAN		1		0.00
AADRAX		1		0.00
AADV		1		0.00
AADVA		1		0.00
AADVAR		1		0.00
AAF		1		0.00
AAFF		1		0.00
AAFFA		1		0.00
AAFFAP		1		0.00
AAG		6		0.00
AAGA		2		0.00
AAGAM		1		0.00
AAGAMV		1		0.00
AAGE		1		0.00
AAGEM		1		0.00
AAGEMZ		1		0.00
AAGO		3		0.00
AAGON		3		0.00
AAGOND		1		0.00
AAGONG		2		0.00
AAH		32		0.00
AAHA		2		0.00
AAHAM		1		0.00
AAHAMP		1		0.00
AAHD		1		0.00
AAHDA		1		0.00
AAHDAL		1		0.00
AAHG		3		0.00
AAHGE		1		0.00
AAHGEM		1		0.00
AAHGO		2		0.00
AAHGOL		1		0.00
AAHGON		1		0.00
AAHH		2		0.00
AAHHA		1		0.00
AAHHAP		1		0.00
AAHHV		1		0.00
AAHHVN		1		0.00
AAHO		3		0.00
AAHOD		1		0.00
AAHODA		1		0.00
AAHOX		2		0.00
AAHOXA		1		0.00
AAHP		1		0.00
AAHPR		1		0.00
